Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Is_Umpire,Column1
320,DA Miller,32669,Left_Hand,Right-arm offbreak,South Africa,0,
321,Azhar Mahmood,27453,Right_Hand,Right-arm fast-medium,Pakistan,0,
322,P Negi,33975,Left_Hand,Slow left-arm orthodox,India,0,
323,RJ Peterson,29071,Left_Hand,Slow left-arm orthodox,South Africa,0,
324,KMDN Kulasekara,30154,Right_Hand,Right-arm fast-medium,Sri Lanka,0,
325,A Ashish Reddy,33293,Right_Hand,Right-arm medium,India,0,
326,V Pratap Singh,33727,Right_Hand,Right-arm medium,India,0,
327,BB Samantray,32491,Right_Hand,NULL,India,0,
328,MJ Clarke,29678,Right_Hand,Slow left-arm orthodox,Australia,0,
329,Gurkeerat Singh,33053,Right_Hand,Right-arm offbreak,India,0,
330,AP Majumdar,30802,Right_Hand,Legbreak googly,India,0,
331,PA Reddy,33280,Right_Hand,Legbreak,India,0,
332,K Upadhyay,31581,Right_Hand,Right-arm medium,India,0,
333,P Awana,31612,Right_Hand,Right-arm medium,India,0,
334,AD Russell,32262,Right_Hand,Right-arm fast,West Indies,0,
335,A Chandila,30655,Right_Hand,Right-arm offbreak,India,0,
336,CA Lynn,32973,Right_Hand,Slow left-arm orthodox,Australia,0,
337,Sunny Gupta,32413,Right_Hand,Right-arm offbreak,India,0,
338,MC Juneja,33128,Right_Hand,Right-arm offbreak,India,0,
339,KK Nair,33578,Right_Hand,Right-arm offbreak,India,0,
340,GH Vihari,34255,Right_Hand,Right-arm offbreak,India,0,
341,MDKJ Perera,33102,Left_Hand,NULL,Sri Lanka,0,
342,R Shukla,33113,Right_Hand,Right-arm medium,India,0,
343,B Laughlin,30227,Right_Hand,Right-arm fast-medium,Australia,0,
344,AS Rajpoot,34307,Right_Hand,Right-arm medium,India,0,
345,M Vohra,34168,Right_Hand,Right-arm medium,India,0,
346,JD Unadkat,33529,Right_Hand,Left-arm medium,India,0,
347,Mohammed Shami,33119,Right_Hand,Right-arm fast-medium,India,0,
348,BMAJ Mendis,30331,Left_Hand,Legbreak,Sri Lanka,0,
349,R Rampaul,30970,Left_Hand,Right-arm fast-medium,West Indies,0,
350,CH Morris,31897,Right_Hand,Right-arm fast-medium,South Africa,0,
351,SV Samson,34649,Right_Hand,NULL,India,0,
352,SMSM Senanayake,31087,Right_Hand,Right-arm offbreak,Sri Lanka,0,
353,BJ Rohrer,29671,Left_Hand,NULL,Australia,0,
354,KL Rahul,33712,Right_Hand,NULL,India,0,
355,Q de Kock,33955,Left_Hand,NULL,South Africa,0,
356,R Dhawan,32923,Right_Hand,Right-arm medium-fast,India,0,
357,MG Johnson,29892,Left_Hand,Left-arm fast,Australia,0,
358,LJ Wright,31113,Right_Hand,Right-arm medium-fast,England,0,
359,IC Pandey,32735,Right_Hand,Right-arm medium,India,0,
360,CM Gautam,31479,Right_Hand,NULL,India,0,
361,X Thalaivan Sargunam,31182,Right_Hand,Right-arm offbreak,India,0,
